authors,title,series,tags,pubdate,publisher,isbn,identifiers
"R. Norman Whybray","The Making of the Pentateuch: A Methodological Study","","Bible","1987-03-01T18:34:36+11:00","A&C Black","9780567594211","google:G2wTQd8fi-MC,isbn:9780567594211,goodreads:16062107"
"Esau McCaulley","Sharing in the Son’s Inheritance: Davidic Messianism and Paul’s Worldwide Interpretation of the Abrahamic Land Promise in Galatians","","New Testament (NT), Bible, Exegesis, Paul, Epistle","2019-04-18T17:26:32+11:00","Bloomsbury Academic","9780567685926","isbn:9780567685926,google:hGftvgEACAAJ"
"Alvin Plantinga & Michael Tooley","Knowledge of God","","Philosophy, Religious","2008-04-28T11:00:00+11:00","Wiley","9780631193630","isbn:9780631193630,amazon:0631193642,goodreads:3194514,google:NEARAQAAIAAJ"
"John T. McNeill","Calvin: Institutes of the Christian Religion","","Bible, History, Theology, Reformed Theology","1960-10-15T18:48:26+11:00","Presbyterian Publishing Corporation","9780664220280","isbn:9780664220280,amazon:0664220207,google:X1G3wgEACAAJ"
"Dwight Moody Smith & R. Alan Culpepper & Carl Clifton Black","Exploring the Gospel of John: In Honor of D. Moody Smith","","Bible, New Testament (NT), John, Theology, Gospel, Gospel of John","1996-01-01T18:45:54+11:00","Westminster John Knox Press","9780664220839","goodreads:1777271,isbn:9780664220839,google:1cgkO8smAYkC,amazon:0664220835"
"Martinus C. de Boer","Galatians","","Bible, New Testament (NT), Theology, New Testament commentary, Paul, Epistle","2011-01-01T17:05:22+11:00","Westminster John Knox Press","9780664221232","google:AhSqAulvWNcC,isbn:9780664221232,amazon:0664221238"
"Richard Patrick Crosland Hanson","Allegory and Event: A Study of the Sources and Significance of Origen's Interpretation of Scripture","","History, Bible, Exegesis, Theology","2002-01-01T18:46:37+11:00","Westminster John Knox Press","9780664224448","isbn:9780664224448,google:w60jvkPJFvAC,amazon:066422444X"
"Edward Adams & David G. Horrell","Christianity at Corinth: The Quest for the Pauline Church","","History, Bible, New Testament (NT), Paul, Epistle","2004-01-01T18:46:06+11:00","Westminster John Knox Press","9780664224783","amazon:0664224784,isbn:9780664224783,google:7jzhDzEChqYC"
"James Louis Martyn","History and Theology in the Fourth Gospel","","Bible, Gospel of John, Jesus, New Testament (NT), New Testament Theology, New Testament commentary, Paul, Epistle, Gospel, Historical Criticism","2003-01-01T17:38:26+11:00","Westminster John Knox Press","9780664225346","isbn:9780664225346,amazon:0664225349,google:X5O7BwAAQBAJ"
"Wilhelm Schneemelcher & Robert McLachlan Wilson","New Testament Apocrypha: Writings Relating to the Apostles; Apocalypses and Related Subjects","","Apocalyptic Literature, Bible, New Testament (NT), Eschatology","1992-01-02T11:00:00+11:00","Westminster John Knox Press","9780664227227","isbn:9780664227227,amazon:0664227228,google:v6IqqnEoN3QC,goodreads:408380"
"Sandra L. Gravett & Karla G. Bohmbach & F. V. Greifenhagen","An Introduction to the Hebrew Bible: A Thematic Approach","","Bible, Old Testament (OT), Introduction","2008-01-01T16:59:18+11:00","Westminster John Knox Press","9780664230302","google:y0PtOdR5pxkC,isbn:9780664230302"
"George E. McCracken","Early Medieval Theology","","Theology, Scholasticism, Bible","1956-01-02T18:45:37+11:00","Westminster John Knox Press","9780664230838","amazon:0664230830,goodreads:810430,isbn:9780664230838,google:m9j6AgAAQBAJ"
"John S. Kloppenborg","Q, the Earliest Gospel: An Introduction to the Original Stories and Sayings of Jesus","","Jesus, New Testament (NT), Textual Criticism, Bible, Paul, Epistle, Gospel","2008-10-03T11:00:00+11:00","Westminster John Knox Press","9780664232221","isbn:9780664232221,google:hT4nmAEACAAJ,amazon:0664232221"
"Michael D. Coogan & Mark S. Smith","Stories From Ancient Canaan, Second Edition","","Bible, Old Testament (OT)","2012-03-15T11:00:00+11:00","Westminster John Knox Press","9780664232429","mobi-asin:B007OWYM4C,amazon:0664232426,isbn:9780664232429,google:mz32zQEACAAJ"
"Amos Yong","Revelation: Belief: A Theological Commentary on the Bible","","Bible, Eschatology, New Testament (NT), Revelation, New Testament commentary, Theology","2021-09-14T16:58:53+11:00","Presbyterian Publishing Corporation","9780664232481","google:UsJJzgEACAAJ,isbn:9780664232481"
"Lyle D. Bierma","The Theology of the Heidelberg Catechism: A Reformation Synthesis","","History, Lutheran, Calvinist, Church History, Bible, Theology","2013-01-01T17:29:41+11:00","Westminster John Knox Press","9780664238544","google:7dIIAQAAQBAJ,isbn:9780664238544"
"C. Clifton Black","The Lord's Prayer","","Biblical Reference, Bible, New Testament (NT), New Testament commentary","2018-11-13T17:16:46+11:00","Presbyterian Publishing Corporation","9780664265489","isbn:9780664265489,google:vPVpuwEACAAJ"
"Bart D Ehrman & Craig A Evans & Robert B Stewart","Can We Trust the Bible on the Historical Jesus?","","Apologetics, Bible, New Testament (NT), Textual Criticism, Historical Criticism","2020-09-22T17:21:25+11:00","Presbyterian Publishing Corporation","9780664265854","isbn:9780664265854,google:pURuzQEACAAJ"
"Charles Harold Dodd","The Parables of the Kingdom","","New Testament (NT), Jesus, Parables, Exegesis, Gospel","1961-10-15T18:31:33+11:00","Scribner","9780684150499","amazon:0684150492,isbn:9780684150499,goodreads:5703095,google:gKFqAAAAMAAJ"
"TOM BETTERIDGE","Literature and Politics in the English Reformation","","History, Europe, Great Britain, Renaissance, Literary Criticism, English History, English Reformation","2012-11-27T18:22:17+11:00","Manchester University Press","9780719064616","isbn:9780719064616,google:GivFyAEACAAJ,amazon:0719064619,goodreads:15794841"
"John Arnold & Peter Biller","Heresy and Inquisition in France, 1200-1300","","History, Europe, Medieval","2016-10-15T18:21:45+11:00","Manchester University Press","9780719081316","goodreads:30201309,amazon:0719081319,isbn:9780719081316,google:lD42rgEACAAJ"
"Rosemary O'Day","The Debate on the English Reformation: Second Edition","","History, Europe, Great Britain, Historiography, Modern","2014-01-16T18:29:22+11:00","Manchester University Press","9780719086618","google:80QZnwEACAAJ,amazon:0416726801,isbn:9780719086618,goodreads:4828187"
"John W. Cairns & Paul J. du Plessis","Beyond Dogmatics: Law and Society in the Roman World","","History, Ancient, Rome, Social History, Law, Legal History","2007-10-15T17:44:11+11:00","Edinburgh University Press","9780748627936","isbn:9780748627936,google:gJuRAAAAMAAJ"
"Paul J. du Plessis","New Frontiers: Law and Society in the Roman World","","History","2013-01-21T17:28:04+11:00","Edinburgh University Press","9780748668175","google:9wPswAEACAAJ,isbn:9780748668175"
"John Christian Laursen & Cary J. Nederman & Ian Hunter","Heresy in Transition: Transforming Ideas of Heresy in Medieval and Early Modern Europe","","History, Europe, Medieval","2005-10-15T18:29:32+11:00","Ashgate","9780754654285","google:Qhb7wAEACAAJ,amazon:0754654281,goodreads:2852334,isbn:9780754654285"
"Hyun-Ah Kim","Humanism and the Reform of Sacred Music in Early Modern England: John Merbecke the Orator and the Booke of Common Praier Noted (1550)","","Liturgy, Worship Music, Theology, Bible, Gospel of John, New Testament (NT)","2008-10-15T18:28:51+11:00","Ashgate","9780754662686","goodreads:7719175,google:sWwIAQAAMAAJ,isbn:9780754662686,amazon:0754662683"
"George Englert McCracken","Early Medieval Theology","","Medieval, Theology, Bible","2003-01-15T18:41:37+11:00","Textbook Publishers","9780758105516","isbn:9780758105516,google:bE_JAAAACAAJ"
"Jacob Neusner","In the Aftermath of Catastrophe: Founding Judaism 70-640","","History, Jewish History","2009-10-15T18:23:05+11:00","McGill-Queen's Press - MQUP","9780773535206","isbn:9780773535206,amazon:0773535209,google:rRP3EOWYEwYC,goodreads:6550027"
"Morna Dorothy Hooker","The Son of Man in Mark: A Study of the Background of the Term ""Son of Man"" and Its Use in St. Mark's Gospel","","Bible, New Testament (NT), Jesus Christ, Synoptic Gospels, Old Testament (OT), Gospel of Mark, Theology, Gospel","1967-10-15T18:22:48+11:00","McGill University Press","9780783710310","isbn:9780783710310,google:IosWAQAAMAAJ"
"R. Alan Culpepper","Anatomy of the Fourth Gospel: A Study in Literary Design","","Bible","1983-10-15T18:13:48+11:00","Fortress Press","9780800621025","oasin:0800620682,asin:B002C1AGVI,google:VMaOAAAAMAAJ,guid:3bfe606683849701887796b03192b710,goodreads:9643550,isbn:9780800621025,amazon:0800621026"
"David L. Petersen & Kent Harold Richards","Interpreting Hebrew Poetry","","Literary Criticism, Jewish, Old Testament (OT), Psalms, Wisdom Literature, Bible, Theology, old testament theology","1989-01-05T11:00:00+11:00","Fortress Press","9780800626259","isbn:9780800626259,google:P9XJngEACAAJ,amazon:0800626257"
"N. T. Wright","The New Testament and the People of God","Christian Origins and the Question of God","Bible, New Testament (NT), Theology, New Testament Theology, Paul, Epistle, Gospel","1992-01-01T18:13:10+11:00","Fortress Press","9781451414981","google:YJ1aRCg31xUC,goodreads:410758,isbn:9781451414981,amazon:0800626818"
"N. T. Wright","The Climax of the Covenant: Christ and the Law in Pauline Theology","","Bible, New Testament (NT), Reference, Theology, Covenant Theology, Paul, Epistle","1993-10-02T11:00:00+11:00","Fortress Press","9780800628277","google:nHLbnQEACAAJ,amazon:0800628276,goodreads:434429,isbn:9780800628277"
"Nicholas Thomas Wright","Paul: In Fresh Perspective","","Bible, New Testament (NT), Paul, Epistle, Gospel","2005-10-15T18:14:19+11:00","Fortress Press","9780800637668","goodreads:148779,google:Dwv1Nj9vV34C,amazon:0800637666,isbn:9780800637668"
"Eduard Lohse","Colossians and Philemon","","New Testament commentary, New Testament (NT), Bible, Paul, Epistle","1971-10-15T18:12:45+11:00","Fortress Pr","9780800660017","goodreads:3220801,isbn:9780800660017,google:1RPzoAEACAAJ,amazon:0800660013"
"Martin Dibelius & Hans Conzelmann & Helmut Koester","Pastoral Epistles Hermeneia","","New Testament (NT), New Testament commentary, Bible","1972-10-15T18:12:58+11:00","Fortress Press","9780800660024","isbn:9780800660024,google:mcvYAAAAMAAJ,goodreads:1832657,amazon:0800660021"
"Hans Conzelmann","1 Corinthians: A Commentary on the First Epistle to the Corinthians","","New Testament (NT), New Testament commentary, Bible, Paul, Epistle","1975-10-15T18:11:41+11:00","Fortress Press","9780800660055","isbn:9780800660055,google:wuLYAAAAMAAJ,goodreads:2588884,amazon:0800660056"
"Martin Dibelius","James: A Commentary on the Epistle of James","","New Testament commentary, New Testament (NT), Bible","1976-10-15T18:12:04+11:00","Fortress Press","9780800660062","amazon:0800660064,isbn:9780800660062,goodreads:2662095,google:oeXYAAAAMAAJ"
"Walther Zimmerli","Ezekiel: A Commentary on the Book of the Prophet Ezekiel","","Bible, Old Testament (OT)","1979-08-02T11:00:00+11:00","Fortress Press","9780800660086","google:79HYAAAAMAAJ,amazon:0800660080,isbn:9780800660086,goodreads:3508733"
"Hans Dieter Betz","Galatians: A Commentary on Paul's Letter to the Churches in Galatia","","Bible, New Testament (NT), New Testament commentary, Paul, Epistle","1979-10-15T18:11:32+11:00","Fortress Press","9780800660093","isbn:9780800660093,goodreads:492553,google:gNLYAAAAMAAJ,amazon:0800660099"
"Ernst Haenchen","John: Chapters 1-6","","Bible, New Testament (NT), John, New Testament commentary, Gospel of John","1984-10-15T18:11:54+11:00","Fortress Press","9780800660130","goodreads:3905376,isbn:9780800660130,google:FerYAAAAMAAJ,amazon:0800660137"
"Kurt Niederwimmer","The Didache: A Commentary","","Apocrypha, Early Church History, New Testament (NT), Early Church Commentary, New Testament commentary","1998-10-15T18:12:35+11:00","Fortress Press","9780800660277","isbn:9780800660277,google:XPXYAAAAMAAJ,amazon:0800660277,goodreads:768522"
"Eldon Jay Epp & Robert Jewett","Romans: A Commentary","","New Testament (NT), New Testament commentary, Bible, Archaeology, Paul, Epistle, Romans, Epsitle","2006-11-02T11:00:00+11:00","Fortress Press","9780800660840","isbn:9780800660840,amazon:0800660846,goodreads:403140,google:-uHYAAAAMAAJ"
"Rikk Watts","Isaiah's New Exodus in Mark","","Bible, Exegesis, New Testament (NT), Gospel, Gospel of Mark, Isaiah, Theology, Old Testament (OT)","2000-10-15T17:52:50+11:00","Baker Academic","9780801022517","google:rXwRAQAAIAAJ,isbn:9780801022517,amazon:0801022517,goodreads:530443"
"Dan G. McCartney","James","","Bible, New Testament (NT), New Testament commentary","2009-11-15T16:49:41+11:00","Baker Academic","9780801026768","google:raBzBQAAQBAJ,isbn:9780801026768"
"David L. Turner","Matthew","","Bible, New Testament (NT), Gospel, Gospel of Matthew, New Testament commentary","2008-04-15T11:00:00+11:00","Baker Academic","9780801026843","isbn:9780801026843,goodreads:595574,amazon:0801026849,google:8z9LSdKLUl4C"
"Robert W. Yarbrough","1-3 John","","New Testament (NT), New Testament commentary, Bible, John, Gospel of John","2008-11-15T17:53:21+11:00","Baker Academic","9780801026874","isbn:9780801026874,goodreads:2471988,google:NBYkfauh8E4C,amazon:0801026873"
"Dale C. Allison Jr.","Constructing Jesus: Memory, Imagination, and History","","Bible, Exegesis, Hermeneutics, New Testament (NT), Biblical History, Archaeology, Gospel, Jesus","2013-02-15T17:09:13+11:00","Baker Publishing Group","9780801048753","isbn:9780801048753,google:aKQsLwEACAAJ"
"Udo Schnelle","Theology of the New Testament","","Bible, New Testament (NT), Theology","2009-11-15T17:06:22+11:00","Baker Academic","9780801036040","google:KvMrnO6Q9O0C,isbn:9780801036040"
"Thomas Edward McComiskey","The Minor Prophets: Hosea, Joel, and Amos","","Bible, Old Testament (OT), Minor Prophets, Old Testament Commentary","1992-10-15T17:52:41+11:00","Baker Book House","9780801062858","isbn:9780801062858,google:R2ElAQAAIAAJ,goodreads:2941103,amazon:0801063078"
"Adrian Nicholas Sherwin-White","Roman Society and Roman Law in the New Testament","","Bible, Gospel, History, New Testament (NT), Law, Theology, Romans, Paul, Epsitle","1978-10-15T17:54:27+11:00","Baker Book House","9780801081484","goodreads:2278007,google:VP5CAQAACAAJ,isbn:9780801081484,amazon:0801081483"
"Ralph P. Martin","Carmen Christi: Philippians Ii 5-11 in Recent Interpretation and in the Setting of Early Christian Worship","","Liturgy, New Testament (NT), Exegesis","1983-10-15T18:44:18+11:00","University Press","9780802819604","goodreads:3917163,amazon:0802819605,google:eTAqAQAAMAAJ,isbn:9780802819604"
"Richard Bauckham","Jesus and the Eyewitnesses: The Gospels as Eyewitness Testimony","","Bible, New Testament (NT), Gospel","2006-11-09T11:00:00+11:00","Eerdmans Publishing Company","9780802831620","isbn:9780802831620,google:oOY-mgEACAAJ,amazon:0802831621"
"Colin G. Kruse","The Letters of John","","Reference, John, New Testament (NT), New Testament commentary, Gospel of John, Bible","2000-01-01T19:00:00+11:00","Wm. B. Eerdmans Publishing","9780802837288","mobi-asin:B003XT60BI,goodreads:19388919,google:w1tONK7oacsC,isbn:9780802837288,amazon:B003XT60BI"
"Anthony C. Thiselton","Thiselton on Hermeneutics: Collected Works With New Essays","","Hermeneutics, Essays, Theology, Bible","2006-10-15T18:49:37+11:00","William B. Eerdmans Pub.","9780802832368","amazon:0802832369,asin:B00EP7BJIQ,google:Bl3zLQ7OXR0C,guid:3ccde058dff2ad37204ece82bab47ba94d53140,goodreads:1423564,isbn:9780802832368,oasin:0802832369"
"Roy E. Ciampa & Brian S. Rosner","The First Letter to the Corinthians","","Bible, New Testament (NT), New Testament commentary, Paul, Epistle","2010-11-09T18:09:51+11:00","Wm. B. Eerdmans Publishing","9780802837325","goodreads:9112517,amazon:0802837328,mobi-asin:B005LFKE7S,isbn:9780802837325,google:QXJnSecbvKcC"
"James R. Edwards","The Gospel According to Luke","","New Testament (NT), New Testament commentary, Bible, Gospel of Luke, Gospel","2015-04-15T18:08:55+11:00","Eerdmans","9780802837356","google:E2ffBgAAQBAJ,isbn:9780802837356,amazon:0802837352"
"Peter T. O'Brien","The Letter to the Ephesians","","New Testament (NT), Paul, New Testament commentary, Exegesis, Bible, Epistle","1999-10-25T11:00:00+11:00","Eerdmans","9780802837363","goodreads:1592978,isbn:9780802837363,google:-XAlAQAAIAAJ,amazon:0802837360"
"Gabriele Boccaccini","Paul's Three Paths to Salvation","","Soteriology, Bible, New Testament (NT), Theology, Paul, Epistle","2020-10-15T17:46:53+11:00","William B. Eerdmans Publishing Company","9780802839213","isbn:9780802839213,google:lNsvzQEACAAJ"
"Joseph Cardinal Ratzinger & Boniface Ramsey","In the Beginning ': A Catholic Understanding of the Story of Creation and the Fall","","Pentateuch, Catholic, Apologetics, Old Testament (OT), Bible, Theology","1995-11-02T11:00:00+11:00","Eerdmans","9780802841063","isbn:9780802841063,amazon:0802841066,google:a47neDIBaSkC"
"Michael J. Gorman","Inhabiting the Cruciform God: Kenosis, Justification, and Theosis in Paul's Narrative Soteriology","","New Testament (NT), Bible, Theology, Paul, Epistle, Gospel","2009-04-03T17:26:08+11:00","Wm. B. Eerdmans Publishing","9780802862655","google:Ob9lclk8vX8C,isbn:9780802862655"
"Anthony C. Thiselton","Hermeneutics: An Introduction","","Exegesis, Hermeneutics","2009-10-09T11:00:00+11:00","Eerdmans","9780802864109","google:oDI6FrROli4C,amazon:0802864104,isbn:9780802864109"
"N. T. Wright","The Lord and His Prayer","","Prayer, New Testament (NT), Bible","2014-09-05T18:52:33+11:00","Wm. B. Eerdmans Publishing","9780802871770","isbn:9780802871770,google:GyEQBAAAQBAJ"
"Dunn","The Acts of the Apostles","","New Testament (NT), Bible, New Testament commentary","2016-10-15T18:55:20+11:00","Wm. B. Eerdmans Publishing","9780802874023","amazon:0802874029,goodreads:30080240,google:LJ8xDwAAQBAJ,isbn:9780802874023"
"Sandra Huebenthal","Reading Mark's Gospel as a Text From Collective Memory","","Bible, New Testament (NT), Gospel, Gospel of Mark, Theology, Jesus","2020-10-15T18:54:57+11:00","William B. Eerdmans Publishing Company","9780802875402","google:WfU_xwEACAAJ,isbn:9780802875402"
"David L. Allen","Hebrews","","New Testament (NT), New Testament commentary, Bible","2010-09-15T11:00:00+11:00","B&H Academic","9780805401356","isbn:9780805401356,mobi-asin:B004QTPL5U,amazon:0805401350,google:Qwd_VSBj74sC"
"Kendell H. Easley & Max Anders","Revelation","Holman New Testament Commentary","New Testament commentary, New Testament (NT), Bible, Theology","1999-01-02T11:00:00+11:00","Holman Reference","9780805402124","amazon:0805402128,isbn:9780805402124,google:BCQDAAAACAAJ"
"Thomas R. Schreiner & Matthew R. Crawford","The Lord's Supper: Remembering and Proclaiming Christ Until He Comes","","New Testament (NT), Bible, Theology, New Testament commentary, Paul, Epistle, Gospel","2010-10-15T17:51:50+11:00","B&H Academic","9780805447576","google:l3aZEG8kQSQC,isbn:9780805447576,amazon:0805447571"
"Holman Bible Editorial Staff","Bible Atlas","","Epistle, New Testament (NT), Reference","2011-05-02T11:00:00+11:00","Holman Reference","9780805495645","amazon:0805495649,goodreads:11142395,isbn:9780805495645,google:gAbDbwAACAAJ"
"Steven Epstein","Genoa & the Genoese, 958-1528","","History, Europe, Italy","1996-10-15T18:41:11+11:00","University of North Carolina Press","9780807822913","google:2pJoAAAAMAAJ,isbn:9780807822913,uri:http://www.hxa7241.org/articles/content/epup-guide_hxa7241_2007_2.epub"
"Dietmar Neufeld","The Social Sciences and Biblical Translation","","Bible, Translation, Koine Greek, Biblical Hebrew","2008-10-15T17:27:14+11:00","Society of Biblical Lit","9781589833470","isbn:9781589833470,google:HXad4_sE3d4C"
"Ben Witherington","Women and the Genesis of Christianity","","New Testament (NT), Bible, Old Testament (OT), Paul, Epistle","1990-06-29T11:00:00+11:00","Cambridge University Press","9780521367356","isbn:9780521367356,google:ayYrSmJI9m0C,amazon:0521367352"
"Michael Edward Moore","A Sacred Kingdom: Bishops and the Rise of Frankish Kingship, 300-850","","Europe, Medieval, Old Testament (OT), Bible","2011-11-07T17:23:46+11:00","CUA Press","9780813218779","isbn:9780813218779,google:1oXE7PcaJzgC"
"Saint, Bishop Of Hippo Augustine & John W. Rettig","Tractates on the Gospel of John 112–24; Tractates on the First Epistle of John","","Philosophy, John, New Testament (NT), Gospel, Gospel of John, Bible","1988-10-15T17:46:21+11:00","CUA Press","9780813200927","isbn:9780813200927,amazon:081320092X,google:SXqxJnS2mnAC"
"David Vincent Meconi","The One Christ","","Catholic","2013-10-15T17:40:37+11:00","CUA Press","9780813221274","isbn:9780813221274,google:uGVE3ko1FOEC"
"Raymond Edward Brown & John R. Donahue","Christ in the Gospels of the Liturgical Year","","New Testament (NT), Bible, Paul, Epistle, Gospel","2008-10-15T18:21:04+11:00","Liturgical Press","9780814618608","isbn:9780814618608,google:igoZ0AEACAAJ"
"Desiderius Erasmus & Beatus Rhenanus","Christian Humanism and the Reformation: Selected Writings of Erasmus","","History, Humanism, Reformation History","1987-10-15T18:11:20+11:00","Fordham University Press","9780823211920","google:iqTczAEACAAJ,uri:http://www.hxa7241.org/articles/content/epup-guide_hxa7241_2007_2.epub,isbn:9780823211920,amazon:0823211924,goodreads:127036"
"Aristotle Papanikolaou & George E. Demacopoulos","Orthodox Readings of Augustine","","Bible","2020-10-15T18:10:52+11:00","Fordham University Press","9780823288601","isbn:9780823288601,google:Ix0bygEACAAJ,amazon:0823288609,goodreads:49232856"
"Charles H. Talbert","Reading Corinthians: A Literary and Theological Commentary","","Bible, New Testament (NT), Exegesis, New Testament commentary, Paul, Epistle, Gospel","2014-05-14T18:04:48+11:00","Smyth & Helwys Pub.","9780824509682","goodreads:1822209,amazon:0824509684,google:6rzwoQEACAAJ,isbn:9780824509682"
"Ian Young","Biblical Hebrew: Studies in Chronology and Typology","","Old Testament (OT), Biblical Hebrew","2003-11-01T17:57:28+11:00","A&C Black","9780826468413","amazon:0826468411,goodreads:590837,google:-1KtAwAAQBAJ,isbn:9780826468413"
"Shai Cherry","Torah Through Time: Understanding Bible Commentary From the Rabbinic Period to Modern Times","","Social Science, Jewish Studies, Judaism, Bible, Exegesis, Old Testament (OT)","2007-09-01T18:41:55+11:00","Jewish Publication Society","9780827608481","isbn:9780827608481,google:TXQtDwAAQBAJ,amazon:0827608489,goodreads:958639"
"Barry L. Schwartz","Judaism's Great Debates: Timeless Controversies From Abraham to Herzl","","Judaism, Theology, Social Science, Jewish Studies, Bible","2012-07-01T18:42:04+11:00","U of Nebraska Press","9780827611313","amazon:0827611315,google:JsYpDwAAQBAJ,goodreads:13425768,isbn:9780827611313"
"Micah Goodman & Rabbi Yedidya Sinclair","Maimonides and the Book That Changed Judaism: Secrets of ""The Guide for the Perplexed""","","Judaism, Philosophy","2015-05-01T18:19:51+11:00","U of Nebraska Press","9780827612105","isbn:9780827612105,goodreads:23529830,google:w60oDwAAQBAJ,amazon:0827612109"
"N. T. Wright","The Challenge of Jesus: Rediscovering Who Jesus Was & Is","","New Testament (NT), New Testament commentary, Bible, Gospel, Jesus","1999-10-14T17:44:28+11:00","InterVarsity Press","9780830822003","isbn:9780830822003,google:_OyIpmVNLOEC,oasin:0830821864,guid:d7ffa7daf28959988ed53d94d72a7ec9f8bb73b,asin:B005LNLRXU"
"Ben Witherington III","Priscilla: The Life of an Early Christian","","Bible, New Testament (NT), Early Church History, Gender Studies, Paul, Epistle","2019-05-14T18:17:47+11:00","InterVarsity Press","9780830852482","isbn:9780830852482,google:bR6cEAAAQBAJ"
"Joel B. Green & Prof. Jeannine K. Brown & Nicholas Perrin","Dictionary of Jesus and the Gospels","","Bible, New Testament (NT), Gospel, Jesus","2013-10-04T16:40:53+11:00","InterVarsity Press","9780830884384","google:HSCACgAAQBAJ,isbn:9780830884384"
"Walter Klaassen & William Klassen","Marpeck: A Life of Dissent and Conformity","Studies in Anabaptist and Mennonite History","History, Theology, Bible","2008-09-29T11:00:00+11:00","Herald Pr","9780836194234","isbn:9780836194234,google:dYDZAAAAMAAJ,amazon:0836194233,goodreads:5483951"
"Christopher Abbott","Julian of Norwich: Autobiography and Theology","","Mysticism, Medieval, Biography, Theology, Bible","1999-10-15T17:58:01+11:00","D.S. Brewer","9780859915489","uri:http://www.hxa7241.org/articles/content/epup-guide_hxa7241_2007_2.epub,amazon:0859915484,google:_spqQgAACAAJ,goodreads:2278466,isbn:9780859915489"
"Saint Augustine","Against the Academicians: Contra Academicos","","Early Church Fathers, Early Church","1957-10-15T17:45:24+11:00","Marquette University Press","9780874622027","isbn:9780874622027,amazon:0874622026,google:x_WozwEACAAJ,goodreads:659275"
"John M. Frame","The Doctrine of the Knowledge of God","","Bible, Theology, Epistemology","1987-10-15T18:24:50+11:00","Presbyterian and Reformed Publishing Company","9780875522623","guid:9f513bd68c14314f7dfaac1dcd09890b,google:3filAAAACAAJ,barnesnoble:w/doctrine-of-the-knowledge-of-god-john-m-frame/1116460183,goodreads:611536,oasin:0875522629,asin:B004LDLD9E,isbn:9780875522623"
"Neal H. Walls","Cult Image and Divine Representation in the Ancient Near East","","Ancient, World, Religious, Religious History, Social Sciences, Archaeology, Ancient Near East, ANE","2005-10-15T17:49:33+11:00","American Schools of Oriental Research","9780897570688","amazon:0897570685,isbn:9780897570688,goodreads:5122899,google:HHbXAAAAMAAJ"
"Elisha Qimron","The Hebrew of the Dead Sea Scrolls","","Biblical Hebrew, Dead Sea Scrolls, Textual Criticism, Bible","1986-06-15T11:00:00+11:00","Scholars Pr","9780891309895","isbn:9780891309895,goodreads:1819194,amazon:1575069326,wd:Q60205499,google:ZNENAAAAYAAJ"
"Peter Biller & Alastair J. Minnis","Medieval Theology and the Natural Body","","History, Europe, Medieval, Church History, Bible, Theology","1997-10-15T18:57:37+11:00","Boydell & Brewer Ltd","9780952973409","amazon:0952973405,goodreads:3637026,isbn:9780952973409,google:z5f2FJrjmJ0C,uri:http://www.hxa7241.org/articles/content/epup-guide_hxa7241_2007_2.epub"
"Robert Tombs","The English and Their History","","English History, History, Social History","2014-10-15T18:20:27+11:00","Knopf","9781101874769","google:EoHaCwAAQBAJ,isbn:9781101874769,amazon:1101873361"
"Jonathan Gray","Oaths and the English Reformation","","Christian Church, English Reformation, Europe, Great Britain, History, Renaissance, Theology, Bible","2013-10-15T18:01:33+11:00","Cambridge University Press","9781107018020","isbn:9781107018020,amazon:113978644X,google:KH3AnsnqHy0C,goodreads:17034814"
"WILLIAM WARWICK BUCKLAND","The Roman Law of Slavery: The Condition of the Slave in Private Law From Augustus to Justinian","","Philosophy, Roman Law, Rome, Ancient","2010-06-24T16:45:56+11:00","Cambridge University Press","9781108009430","isbn:9781108009430,google:o4X89oujfZwC"
"Ben Witherington, Iii","Biblical Theology: The Convergence of the Canon","","Bible, Judaism, New Testament (NT), Old Testament (OT), Biblical Theology, Theology, Gospel","2019-07-04T17:28:54+11:00","Cambridge University Press","9781108498784","isbn:9781108498784,google:HTyaDwAAQBAJ"
"Michael F. Bird, Scott Harrower","The Cambridge Companion to the Apostolic Fathers","","Bible, Christian Church, Companion, History, New Testament (NT), Church History","2021-05-28T17:33:23+11:00","Cambridge University Press","9781108554992","isbn:9781108554992,google:5gImzgEACAAJ"
"Filippo Domaneschi","Presuppositions and Cognitive Processes: Understanding the Information Taken for Granted","","Linguistics, Philosophy, Pragmatics, Psycholinguistics, Psychology, Reference, Semantics","2016-07-30T18:26:11+11:00","Palgrave Macmillan UK","9781137579416","amazon:1137579412,isbn:9781137579416,goodreads:29878960,google:vuLojwEACAAJ"
"Kadriye Ercikan & Peter C. Seixas","New Directions in Assessing Historical Thinking","","Historiography, History","2015-03-12T11:00:00+11:00","Routledge","9781138018266","isbn:9781138018266,amazon:1138018279,google:0vPVoQEACAAJ,goodreads:23338829"
"Charles E. Orser","Historical Archaeology","","History, Archaeology","2016-10-15T16:55:03+11:00","Routledge/Taylor & Francis Group","9781138126053","amazon:1138126055,isbn:9781138126053,goodreads:26724006,google:NkM3jgEACAAJ"
"Amram D. Tropper","Rewriting Ancient Jewish History: The History of the Jews in Roman Times and the New Historical Method","","Ancient Israel, Jewish History, History, Rome","2016-10-15T17:39:15+11:00","Routledge/Taylor & Francis Group","9781138641488","google:MZrtjgEACAAJ,isbn:9781138641488,amazon:1138641480,goodreads:27849197"
